ID,name,postalCode,latitude,longitude,"Buy Online Pick Up In Store","Buy Online Pick Up Curbside","Local Store Delivery",aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more_[0],householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,SIMULATED_SALES,postalCode,DOMESTICMIG2019,NETMIG2019
"North Carolina-Greensboro","Greensboro At Home",27407,36.053332,-79.898028,TRUE,TRUE,TRUE,78578333,50647,2643,65421,3191,26465,1298,0.03,0.01,26596,7842,51936,3810,57629,3414,41337,8118,20264,4504,5493,4200,2331,2463,620,653,51900,19664,16311,404,6008,22,327,1711,7453,1710.7,51900,3693,3181,4883,4147,2959,2989,2673,2296,4029,3040,3806,3642,3423,3220,2367,1552,33.9,34148,0.12,0.23,0.31,0.23,0.1,12606,0.13,27270,0.05,22527,140700,20264,12606,8102,3672,4504,2817,7658,11709817,27407,1947,3079
Missouri-Fenton,"Fenton At Home",63026,38.51001,-90.441019,TRUE,TRUE,TRUE,65573657,80420,3054,97904,3389,37336,1443,0.09,0.01,40586,14526,88684,6191,89473,8191,61621,3304,16703,2030,2554,3090,2878,3396,1308,1447,44333,40751,358,68,951,17,26,808,1354,1751,44333,2835,2885,2067,2705,3091,3424,2807,2450,2617,3462,2280,2894,3098,3481,2636,1601,40.8,30442,0.07,0.24,0.32,0.25,0.12,12354,0.06,24192,0.04,17497,204700,16703,12354,9547,3940,2807,1379,4349,8524758,63026,1567,1954
"Arkansas-Little Rock","Little Rock At Home",72211,34.74786,-92.405495,TRUE,TRUE,FALSE,19508112,64168,4376,91212,6003,40885,2646,0.09,0.02,25225,6489,63357,8919,81442,9032,56250,14330,9855,1657,2333,1577,1334,1355,725,874,22553,13647,5276,23,1827,0,220,487,1073,2994.2,22553,1791,738,2245,1889,1313,1435,1558,1128,1563,897,1906,1773,1332,1163,1077,745,34.9,15925,0.03,0.16,0.27,0.32,0.23,5410,0.08,13090,0.03,11161,191500,9855,5410,3842,1401,1568,936,4445,12450369,72211,-1415,-1262
"North Carolina-Concord","Concord At Home",28027,35.363908,-80.715673,TRUE,TRUE,TRUE,177761879,76776,4172,96292,4053,34776,1462,0.09,0.01,30669,12256,86417,3378,85862,4019,45095,3729,23794,3012,4567,4102,3800,4198,1982,2133,68716,43181,11998,426,3929,10,209,1280,7683,1001.2,68716,3958,5321,3862,5610,5281,4752,3265,3569,4964,4715,3948,4426,5617,4111,3056,2261,37.8,45677,0.1,0.23,0.3,0.23,0.14,17674,0.05,37058,0.04,26422,225500,23794,17674,13663,6672,4011,2333,6120,10391871,28027,3756,3941
Ohio-Springdale,"Springdale At Home",45246,39.291759,-84.459923,FALSE,FALSE,FALSE,26394188,58376,5561,81988,8027,35560,3864,0.06,0.02,-1,-1,55987,16661,76318,8153,46071,4801,6186,1400,1355,1129,876,949,136,341,14467,6940,4560,0,310,0,18,189,2450,1419.6,14467,1020,1008,497,836,967,889,789,1374,989,887,805,878,977,1017,703,831,42.1,10108,0.11,0.28,0.26,0.21,0.14,3473,0.15,7274,0.05,6569,136000,6186,3473,2389,888,1084,492,2713,5857797,45246,-1811,-740
Michigan-Utica,"Utica At Home",48315,42.629409,-83.005321,TRUE,TRUE,TRUE,33073223,83028,5776,107822,6570,43028,2500,0.12,0.02,-1,-1,108708,18801,107566,13589,53980,3108,10875,1429,1866,1824,1191,2169,1103,1293,27662,24776,680,0,1024,0,39,570,573,2166.2,27662,1220,1884,1135,1136,1848,2307,2293,2946,1365,1674,1310,1201,1441,2062,1795,2045,48.9,20178,0.06,0.24,0.36,0.2,0.14,7928,0.04,13062,0.03,11111,278600,10875,7928,6704,2495,1224,409,2947,8940688,48315,-653,628
Pennsylvania-Coraopolis,"Coraopolis At Home",15108,40.455492,-80.18182,TRUE,TRUE,TRUE,102266189,79083,4405,101318,4066,42001,1787,0.09,0.01,34149,13299,89344,6566,103914,7587,49753,2855,16843,2043,3077,2916,2162,3693,1402,1550,40971,35223,2276,70,1507,0,100,1210,585,1037.6,40971,2280,2472,2190,2874,2567,2805,2367,2605,2100,2837,2713,2683,2825,2964,2430,2259,40.7,28710,0.05,0.22,0.26,0.31,0.16,10631,0.03,22868,0.04,18249,198400,16843,10631,8794,3409,1837,899,6212,10312355,15108,-2543,-151
Nebraska-Omaha,"Omaha At Home",68144,41.235511,-96.11593,TRUE,TRUE,TRUE,19372797,71444,5079,89940,3920,38733,1781,0.06,0.01,48083,9556,78333,8647,80089,5492,54539,5257,9923,1218,1926,2049,1451,1915,777,587,23308,20623,673,89,390,5,0,300,1228,3116.1,23308,1481,1533,1305,1568,1510,1546,1668,1506,1461,1538,1182,1489,1228,1581,1606,1106,40.3,16325,0.03,0.19,0.32,0.3,0.15,6123,0.03,13188,0.02,10544,172300,9923,6123,4839,1905,1284,726,3800,12221078,68144,-677,719
Georgia-Douglasville,"Douglasville At Home",30135,33.725769,-84.765915,TRUE,TRUE,TRUE,216899207,76057,2735,88252,3371,30220,1209,0.05,0.01,42202,19702,81158,4129,85956,5618,56936,4302,22412,3094,3565,4336,3762,4690,1910,1055,67710,30710,29320,28,1002,34,108,1191,5317,808.5,67710,4031,5313,3717,4682,5234,5099,4093,3008,4475,5576,4108,3903,4355,4575,3245,2296,37.7,44260,0.11,0.29,0.29,0.19,0.12,16926,0.08,35106,0.07,23974,171100,22412,16926,12534,5254,4392,2384,5486,9108027,30135,615,653
Illinois-Aurora,"Aurora At Home",60504,41.7716,-88.208821,TRUE,TRUE,TRUE,22923180,84598,5182,104527,4025,36369,1770,0.1,0.02,55781,13143,77184,7789,106738,7427,42528,10700,13332,1241,2205,2473,1896,2921,1250,1346,39070,18259,4092,23,6445,0,16,1050,9185,4414.3,39070,2858,2705,2810,3174,3550,2442,1274,928,2695,3330,3005,2720,3291,2367,1294,627,34,24207,0.1,0.17,0.28,0.28,0.17,9628,0.05,22530,0.05,14425,204500,13332,9628,7771,4520,1857,955,3704,6476227,60504,-3026,-3107
