ID,name,postalCode,latitude,longitude,"Buy Online Pick Up In Store","Buy Online Pick Up Curbside","Local Store Delivery",aland,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more_[0],householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,population_density_sq_mi,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,SIMULATED_SALES,postalCode,DOMESTICMIG2019,NETMIG2019
"New Jersey-Cherry Hill","Cherry Hill At Home",8002,39.944529,-75.021585,TRUE,TRUE,TRUE,18634063,82285,5913,107821,10149,42930,3945,0.1,0.02,56333,47012,96453,19890,106172,17862,49726,11625,8956,1411,1333,1343,1115,1870,1031,853,22964,15594,1461,0,2949,0,125,701,2134,3191.8,22964,1145,1465,1042,1935,1451,1463,1686,1868,1148,1296,1400,1670,1523,1436,1203,1233,41.4,16708,0.08,0.21,0.3,0.24,0.17,5750,0.06,13135,0.04,9835,237600,8956,5750,4593,1916,1157,390,3206,8573420,80020,791,896
"Colorado-Colorado Springs","Colorado Springs At Home",80909,38.837755,-104.75506,TRUE,TRUE,TRUE,21696922,45471,3367,59183,2554,26016,1259,0.01,0.01,31563,8180,48145,7934,48640,4932,39256,5670,16197,4421,4300,3100,1667,2088,388,233,38382,24506,2551,151,593,53,26,1545,8957,4581.7,38382,2558,2185,3252,2377,1871,2575,2211,2385,2570,1781,3797,2871,2086,2476,1657,1730,35.1,26316,0.09,0.27,0.37,0.17,0.1,9075,0.14,19793,0.05,16913,219400,16197,9075,5468,2035,3607,1786,7122,7255854,80909,3099,3625
Michigan-Kalamazoo,"Kalamazoo At Home",49008,42.270413,-85.646813,TRUE,TRUE,FALSE,16936189,52944,2574,80158,6892,33228,2772,0.06,0.02,40329,14398,52295,4568,65489,15144,45106,6337,6863,1527,1719,1282,749,904,272,410,17012,13231,1638,35,543,0,23,952,590,2601.6,17012,907,1029,1940,1099,860,750,941,1175,1000,992,2408,1021,790,613,831,656,31,10393,0.06,0.16,0.27,0.27,0.24,3371,0.1,9568,0.05,7241,156300,6863,3371,2610,1066,761,482,3492,6482200,49008,-715,-412
Florida-Kissimmee,"Kissimmee At Home",34741,28.306533,-81.432704,TRUE,TRUE,TRUE,38692454,38071,2113,50013,3832,19039,1342,0.01,0.01,25571,6536,39713,2713,36648,2937,35762,6127,15729,4884,5479,2657,1243,955,334,177,47710,9462,3045,0,2045,11,30,880,32237,3193.6,47710,3033,2789,3501,3948,2975,2598,2588,1837,4252,3476,3737,4117,3028,2210,2189,1432,33,31152,0.16,0.31,0.35,0.13,0.05,9544,0.26,23898,0.06,20833,162300,15729,9544,5826,2444,3718,2443,6185,7684017,34741,4041,5249
"Michigan-Georgetown Township","Jenison At Home",49428,42.902278,-85.790365,TRUE,TRUE,FALSE,42703323,75625,5555,84872,3789,31425,1361,0.04,0.01,41686,18502,86925,6121,99237,7523,43268,5926,10089,1410,1734,1883,1655,2296,751,360,27445,25053,253,40,190,0,0,752,1157,1664.6,27445,2180,1541,1599,1764,1711,1285,1902,1929,2201,1912,1674,1729,1644,1473,1525,1376,37.5,18013,0.05,0.28,0.35,0.23,0.09,7556,0.04,14341,0.03,10219,180300,10089,7556,6645,2922,911,521,2533,8149742,49428,438,733
"North Carolina-Durham","Durham At Home",27707,35.962759,-78.958733,TRUE,TRUE,TRUE,55147631,53561,3444,84403,5067,34213,1933,0.08,0.01,33558,18631,52992,3619,62266,6725,52471,7518,20317,4267,5213,3483,2042,2626,1101,1585,51414,19624,19171,134,2119,64,17,2150,8135,2414.6,51414,3197,3798,5013,4088,2888,2940,2627,2274,3578,3018,4532,4399,3020,2540,2149,1353,32.6,33155,0.14,0.16,0.19,0.24,0.27,11288,0.14,27867,0.05,22168,246200,20317,11288,6909,2937,4379,2354,9029,7692046,27707,1176,2552
Arizona-Peoria,"Peoria At Home",85345,33.576836,-112.25634,TRUE,TRUE,TRUE,33808213,53383,2195,63650,2154,23905,1795,0.01,0,44250,11062,56348,4366,65070,5522,35494,3827,19842,3783,5386,4159,3009,2743,570,192,57351,30118,2229,553,1882,101,9,1875,20584,4393.6,57351,4030,3253,4140,3857,3837,3626,3382,2987,3969,4369,4448,3627,3109,3827,2941,1949,35.2,37927,0.14,0.29,0.39,0.14,0.05,13477,0.09,28615,0.07,21389,168800,19842,13477,8870,3655,4607,2251,6365,10197315,85345,57477,62997
Ypsilanti,"Ypsilanti At Home",48197,42.251186,-83.659813,TRUE,TRUE,TRUE,108574120,61341,2908,78473,2009,31428,880,0.05,0.01,35381,4250,67347,3541,77044,4584,47540,4387,25517,5223,5714,4181,3453,4168,1464,1314,68108,40481,16653,140,3436,22,211,2942,4223,1624.7,68108,3690,5016,7910,5011,4209,3699,2907,2249,3768,4950,8381,4807,3947,3131,2808,1625,30.3,40960,0.08,0.16,0.33,0.26,0.18,13585,0.09,39168,0.06,26951,197400,25517,13585,9734,4058,3851,2045,11932,5303216,48197,-4098,-2938
Arizona-Phoenix,"Phoenix At Home",85028,33.59568,-112.011799,TRUE,TRUE,TRUE,25959566,92357,8253,119734,7469,50883,3206,0.15,0.02,-1,-1,118656,7726,108551,8825,59859,7147,8080,994,1168,1056,1165,1641,847,1209,19334,15589,294,111,299,41,43,789,2168,1929,19334,1189,1009,633,1079,1397,1530,1557,1891,925,1000,622,961,1206,1327,1415,1593,48.2,14592,0.03,0.14,0.31,0.3,0.22,5406,0.03,10321,0.03,8780,376800,8080,5406,4403,1509,1003,416,2674,8185220,85028,57477,62997
Missouri-Springfield,"Springfield At Home",65807,37.146351,-93.294632,TRUE,TRUE,FALSE,56221895,42321,1836,53531,2438,23964,1205,0.01,0,29463,4175,47974,3548,52675,4502,34786,2274,25835,6704,8449,5647,2491,1778,506,260,58103,48352,2866,239,1523,45,89,2405,2584,2676.6,58103,2874,3495,7902,3106,2594,3173,2845,4099,2535,3417,7579,3950,2790,2762,2453,2529,31.1,35849,0.07,0.28,0.37,0.2,0.09,12454,0.1,31478,0.04,27368,127800,25835,12454,8806,2403,3648,2077,13381,10181894,65807,1310,1534
"Florida-Orange Park","Orange Park At Home",32073,30.189285,-81.735458,TRUE,TRUE,TRUE,42711775,60088,3239,74138,3745,28395,1359,0.03,0.01,29375,22016,59219,3162,69805,12253,58028,6673,15384,2465,3684,3237,2308,2443,870,377,42520,24410,8237,0,1601,0,190,2038,6044,2578.4,42520,2434,2252,3336,2952,2762,2823,2745,2500,2768,2449,3546,2621,2542,2638,2287,1865,37.6,29525,0.08,0.28,0.39,0.17,0.08,11132,0.09,21984,0.07,16290,173600,15384,11132,7835,2937,3297,1666,4252,10726285,32073,2875,3045
Georgia-Buford,"Buford At Home",30518,34.09757,-84.010072,TRUE,TRUE,TRUE,103037558,80839,4865,97829,5114,32344,1732,0.08,0.01,64474,15390,86848,8760,98929,8731,49000,10586,16974,2275,2764,2804,2322,3715,1790,1304,53780,30566,7360,143,4122,0,13,1206,10370,1351.8,53780,3551,4744,3048,3679,4704,3425,2294,1989,4074,4255,3150,3734,4308,3274,2266,1285,36.4,34262,0.14,0.25,0.26,0.24,0.12,13209,0.07,27429,0.03,18121,244500,16974,13209,10378,5389,2831,1381,3765,9238081,30518,-59,2289
Ohio-Toledo,"Toledo At Home",43614,41.598474,-83.664955,TRUE,TRUE,FALSE,23456254,47496,2983,63485,4145,29941,2108,0.02,0.01,23824,15933,51204,4813,55601,6853,40592,3451,14303,3761,3780,2513,1539,1911,523,276,31100,22537,4875,47,734,0,89,828,1990,3434,31100,1891,1276,2643,2465,1460,2108,2390,2466,2059,1404,2328,2028,1787,1749,1749,1297,37.9,22278,0.08,0.26,0.36,0.2,0.1,7562,0.13,15969,0.05,15373,119500,14303,7562,4974,1774,2588,1467,6741,7073959,43614,-2187,-2005
Alabama-Hoover,"Hoover At Home",35226,33.361415,-86.849728,TRUE,TRUE,TRUE,46333952,106905,4296,127955,7647,48236,2861,0.15,0.02,-1,-1,112500,10241,123708,7335,80719,5274,13117,1190,1509,1702,1720,3050,1956,1990,35331,27334,4704,14,1656,17,19,669,918,1974.9,35331,2584,2107,1909,2658,2509,2349,2058,1887,2821,2266,2005,2601,2119,2031,1926,1501,37.4,24077,0.02,0.12,0.2,0.36,0.3,9908,0.04,18887,0.03,13870,279600,13117,9908,8379,3759,1529,793,3209,8366741,35226,-2375,-1915
Missouri-O'Fallon,"O'Fallon At Home",63366,38.80131,-90.701856,TRUE,TRUE,TRUE,177965723,77041,3832,96114,4652,35992,1744,0.07,0.01,38693,26155,88164,5993,93371,9195,45657,3787,18498,2086,3011,3992,2828,3698,1669,1214,50402,44803,2068,53,1086,0,87,1131,1174,733.5,50402,2976,3386,2698,3557,3316,3773,2770,2584,3374,3859,3259,3594,3399,3452,2405,2000,38.2,33942,0.06,0.31,0.32,0.21,0.11,13522,0.04,27269,0.03,19356,204900,18498,13522,10383,4492,3139,1698,4976,8308102,63366,566,559
Iowa-Clive,"Clive At Home",50325,41.601858,-93.759352,TRUE,TRUE,FALSE,19951076,104554,5702,130372,7081,50328,3037,0.16,0.03,36094,34915,102580,18558,133828,14626,63087,11478,6592,638,725,961,846,1531,861,1030,17186,14134,643,0,1266,0,24,371,748,2231,17186,1483,1152,656,1122,1281,1227,992,924,1226,1234,586,1222,1245,1196,875,765,39.4,11540,0.04,0.12,0.26,0.37,0.2,4825,0.03,9349,0.03,6901,265100,6592,4825,4148,1924,677,506,1767,8782646,50325,777,1162
"Missouri-Lee's Summit","Lee'S Summit At Home",64086,38.922288,-94.359065,TRUE,TRUE,TRUE,96881292,86949,5894,102500,4580,39314,1621,0.09,0.02,38728,5917,94127,7920,98750,10383,61283,12980,8741,686,1303,1594,1562,1807,1001,788,22940,19311,1360,23,476,0,0,861,909,613.3,22940,1488,1618,1229,1751,1594,1587,1214,1028,1719,1774,1291,1324,1590,1796,1065,872,37,15181,0.03,0.2,0.3,0.3,0.16,6287,0.03,12544,0.03,9702,200000,8741,6287,5134,2364,1153,836,2454,7455652,64086,-845,-243
Mississippi-Jackson,"Jackson At Home",39211,32.395293,-90.13798,TRUE,TRUE,FALSE,31869347,64971,4846,88752,5239,38103,2489,0.07,0.02,25781,17632,58089,9745,85310,10421,62917,16219,10299,1442,2210,2158,1677,1455,621,736,24655,11452,12099,9,272,55,4,132,632,2003.7,24655,1355,1347,2508,1917,1415,1659,1288,1700,1291,1553,2232,2100,1130,1259,963,938,34.4,17244,0.03,0.11,0.32,0.32,0.23,6079,0.04,13986,0.03,11380,159600,10299,6079,4046,1263,2033,885,4220,7761179,39211,-5018,-4831
Kansas-Olathe,"Olathe At Home",66062,38.885016,-94.783134,TRUE,TRUE,TRUE,123870940,100355,2696,117513,3838,41510,1272,0.11,0.01,36450,4303,106748,3574,115137,4110,63105,3877,28440,2008,3949,4055,4144,7354,3818,3112,81780,64797,3894,134,4257,10,35,2151,6502,1709.9,81780,6411,6481,4668,6056,6318,5173,3772,2780,6351,6484,4424,6003,5983,5340,3301,2235,35,51462,0.04,0.13,0.27,0.37,0.19,21746,0.04,45306,0.03,29407,248300,28440,21746,18102,9176,3644,2529,6694,7974796,66062,299,1236
"New Mexico-Albuquerque","Albuquerque At Home",87112,35.084371,-106.527946,FALSE,TRUE,TRUE,20927369,51904,2386,66801,2749,29934,1264,0.03,0.01,30052,15583,52054,4042,61221,6841,45919,2781,18081,4222,4488,3390,2317,2247,857,560,42256,21989,1489,2087,916,0,119,927,14729,5229.6,42256,2322,2286,2471,2810,2688,2668,3192,3462,2431,2327,3055,2543,2314,2895,2327,2465,41.6,30393,0.08,0.23,0.37,0.18,0.14,10219,0.1,20832,0.05,19913,184800,18081,10219,6829,2305,3390,1622,7862,7141277,87112,-824,-51
Ohio-Elyria,"Sheffield Village At Home",44035,41.421969,-82.079244,TRUE,TRUE,TRUE,123681565,46372,1558,58448,1873,25653,845,0.01,0,22388,8130,44005,2368,55907,1972,42500,2255,26998,7103,7167,5406,3374,3082,491,375,63333,47224,8510,186,584,0,55,2606,4168,1326.2,63333,4116,3632,4476,3457,3708,4849,4387,4030,3665,4102,4155,3580,4171,4325,4017,2663,40.6,43400,0.12,0.34,0.38,0.11,0.05,15944,0.17,32009,0.06,29617,106300,26998,15944,9827,2914,6117,3826,11054,9860011,44035,612,720
Alabama-Huntsville,"Huntsville At Home",35816,34.747417,-86.603246,TRUE,TRUE,FALSE,13730174,25451,3187,35526,2770,17392,1496,0.01,0.01,14912,7871,23904,7698,30527,6407,29258,7684,6622,3259,1986,650,378,221,60,68,13971,2997,8922,51,449,0,93,354,1105,2635.4,13971,597,905,2409,747,544,755,649,768,986,748,1989,954,449,790,265,416,28,8216,0.15,0.27,0.32,0.17,0.09,2934,0.34,7543,0.11,8001,89000,6622,2934,1094,316,1840,942,3688,8332970,35816,4721,4951
"Georgia-Warner Robins","Warner Robins At Home",31093,32.616774,-83.653755,TRUE,TRUE,FALSE,50867091,42303,4472,53852,3647,22485,1595,0.02,0.01,27440,24374,39958,9685,55328,6120,36814,4530,11139,3299,3199,2283,962,901,319,176,27313,11748,12378,50,727,0,0,742,1668,1390.7,27313,1496,1661,1902,2211,1499,2039,1508,1746,1890,2168,1584,2112,1375,1593,1599,930,36.8,18548,0.13,0.35,0.36,0.12,0.06,7109,0.2,13006,0.09,12865,91400,11139,7109,4350,1821,2759,1496,4030,6551785,31093,1528,1669
Georgia-Snellville,"Snellville At Home",30078,33.857443,-84.009508,TRUE,TRUE,TRUE,43896720,71071,4933,95622,8402,31726,2554,0.07,0.02,22917,6660,58014,4483,84877,8660,65784,9387,11213,1312,2356,2215,1745,2027,752,806,35601,14318,12594,218,2966,0,286,726,4493,2100.5,35601,2375,2875,1776,2487,2527,2723,2089,1815,2195,2300,2242,2168,2540,2443,1754,1292,38.7,23720,0.07,0.23,0.33,0.23,0.14,9020,0.06,17921,0.04,11684,195400,11213,9020,6822,2844,2198,1200,2193,8643629,30078,-59,2289
Pennsylvania-Pittsburgh,"Pittsburgh At Home",15237,40.552261,-80.016618,TRUE,TRUE,TRUE,62734772,86599,2385,109602,3916,47844,1638,0.12,0.01,33810,23392,108561,8390,110068,6410,48636,5665,18286,2126,2880,2915,2573,3674,1951,2167,42561,38047,782,11,2108,0,106,491,1016,1757.1,42561,2181,1978,2106,2929,2273,3133,3151,3988,2702,2206,2447,2914,2487,2682,3055,2329,43.6,31764,0.04,0.18,0.22,0.32,0.24,11467,0.02,23322,0.03,19161,223000,18286,11467,9929,3777,1538,726,6819,7152675,15237,-2543,-151
Kansas-Wichita,"Wichita At Home",67207,37.66165,-97.232915,TRUE,TRUE,FALSE,26059255,52412,2587,67533,4711,27863,1978,0.03,0.01,31325,5646,52650,3993,66512,6869,43815,5366,11361,2480,2830,2370,1589,1473,283,336,28473,13855,4432,184,4562,9,36,1417,3978,2829.9,28473,2030,1516,2865,2366,1394,1767,1224,1362,2202,1444,3026,2373,1350,1225,1251,1078,31.9,18496,0.11,0.27,0.33,0.19,0.1,6365,0.12,16030,0.05,12724,146500,11361,6365,3860,1645,2505,1316,4996,7191471,67207,-240,382
Louisiana-Kenner,"Kenner At Home",70065,30.022847,-90.252695,TRUE,TRUE,TRUE,20830947,59567,3015,79686,4364,31400,1804,0.05,0.01,29800,14507,58086,4406,73398,5930,47092,7246,19222,3920,3931,3782,2869,2711,994,1015,50752,25215,9168,96,2352,0,275,568,13078,6310.2,50752,2954,3061,3629,3632,2849,3415,3889,2610,3762,3474,3129,3257,2757,3086,2951,2297,37.4,34204,0.12,0.29,0.29,0.2,0.09,12663,0.13,25972,0.04,21469,193500,19222,12663,9226,3462,3437,1769,6559,8820415,70065,-3646,-2613
"Missouri-Kansas City","Kansas City At Home",64155,39.2471,-94.57227,TRUE,TRUE,TRUE,28791004,85275,4655,93524,4134,35348,1612,0.05,0.02,50536,26102,92802,7980,94516,9516,55962,8647,8722,704,1328,1771,1389,2233,899,398,23905,19198,1777,42,488,0,11,632,1757,2150.5,23905,1688,1485,1441,2000,1679,1718,1287,963,1544,1640,1404,2008,1466,1691,1263,628,36.7,15902,0.05,0.21,0.33,0.29,0.12,6041,0.03,13756,0.04,9005,188200,8722,6041,4988,2318,1053,619,2681,7374596,64155,-845,-243
Arizona-Prescott,"Prescott At Home",86301,34.550615,-112.435303,TRUE,TRUE,FALSE,80130664,53190,3309,71471,6996,32314,3209,0.04,0.01,26558,7538,57500,9141,59483,8040,50884,3660,10121,1988,2657,2375,1010,1273,419,399,23087,20045,56,180,358,0,0,645,1803,746.2,23087,720,1421,1101,908,1162,1411,2417,2935,599,1516,1295,691,696,1315,2039,2861,55.6,17417,0.06,0.19,0.39,0.21,0.15,5958,0.07,8492,0.07,11417,287500,10121,5958,4994,924,964,361,4163,5736930,86301,4636,4564
Minnesota-Burnsville,"Burnsville At Home",55306,44.744423,-93.297167,TRUE,TRUE,TRUE,16092439,75026,3459,90282,4354,35610,2249,0.06,0.01,68929,33505,76928,7794,88047,11193,58027,4854,6350,743,1365,1065,988,1228,576,385,16387,10645,2164,17,807,0,8,550,2196,2637.4,16387,953,1121,1117,1111,985,1435,1048,910,955,1207,1042,978,983,1074,856,612,37.6,11069,0.11,0.2,0.29,0.29,0.11,4343,0.06,9687,0.05,6872,276200,6350,4343,3011,1079,1332,740,2007,7974517,55306,1160,1587
Oklahoma-Moore,"Moore At Home",73160,35.320068,-97.50357,TRUE,TRUE,TRUE,58190313,65528,2376,75492,2322,29759,934,0.02,0.01,32221,7790,71303,2700,76357,5080,43950,2928,22882,3190,5082,5078,4034,3679,1320,499,59509,42017,3623,2195,1275,0,57,4267,6075,2648.7,59509,4157,3255,5409,4935,3668,3491,2850,2569,4527,3565,5564,4945,3300,3450,2265,1559,33.6,38615,0.08,0.28,0.37,0.2,0.08,15540,0.06,33381,0.04,24215,140500,22882,15540,11265,5125,4275,2669,7342,8872937,73160,1852,2221
Minnesota-Blaine,"Blaine At Home",55449,45.166771,-93.159032,TRUE,TRUE,TRUE,55919940,106101,4404,128888,6714,46435,2377,0.15,0.02,75057,24792,124976,7060,109091,7598,61441,6955,10010,793,1012,1274,1468,2670,1260,1533,28165,22245,1096,167,2471,0,25,699,1462,1304.5,28165,1899,1970,1222,2342,2113,1947,1704,805,2235,2465,1060,2000,2674,1596,1404,729,37.9,18666,0.05,0.18,0.3,0.31,0.17,7630,0.04,15336,0.02,10338,299600,10010,7630,6661,3426,969,648,2380,8542308,55449,1216,1450
Iowa-Waterloo,"Waterloo At Home",50702,42.462509,-92.322307,TRUE,TRUE,FALSE,24477877,49258,3450,59893,2850,26279,1277,0.02,0.01,34500,10138,49043,4246,60811,3560,37263,4575,8347,1807,2411,1847,955,1013,180,134,19446,15023,2087,38,546,0,25,351,1376,2057.6,19446,1372,992,1231,1341,1191,1245,1030,1301,1088,1439,1533,1336,1158,1270,1010,909,37.5,13073,0.11,0.39,0.29,0.16,0.06,4768,0.08,10466,0.04,9224,116200,8347,4768,3482,1279,1286,774,3579,3642261,50702,-1129,-941
Louisiana-Lafayette,"Lafayette At Home",70508,30.162478,-92.056538,TRUE,TRUE,FALSE,64889577,74060,3331,106957,7094,45217,3083,0.13,0.02,33582,8825,78528,8373,98705,18841,55000,12864,16540,2894,2722,2822,1675,2664,1603,2160,40265,33023,4656,50,634,0,97,457,1348,1607.1,40265,2600,2410,2646,3281,2155,3053,2692,2062,2196,2425,2424,3204,2511,2551,2532,1523,38,28362,0.06,0.24,0.23,0.33,0.15,10399,0.08,22111,0.05,18577,252900,16540,10399,8023,3423,2376,1337,6141,9594126,70508,-113,71
Alabama-Mobile,"Mobile At Home",36608,30.685548,-88.227049,TRUE,TRUE,TRUE,162023741,51332,2605,74142,4178,32757,1666,0.06,0.01,14866,2847,50333,5635,60307,3374,56486,6806,14959,4182,3110,2697,1853,1635,558,924,35336,21216,11056,102,699,0,106,530,1627,564.9,35336,1819,2448,3634,2566,2127,2023,2092,2300,1648,2062,3211,2322,1780,1991,1645,1668,35.7,23481,0.09,0.23,0.29,0.24,0.15,7867,0.09,17490,0.04,17240,156800,14959,7867,5675,1939,2192,1070,7092,7007692,36608,-1821,-1555
Louisiana-Slidell,"Slidell At Home",70460,30.309443,-89.823169,TRUE,TRUE,TRUE,94928354,52101,3573,64280,3997,22613,1754,0.02,0.01,-1,-1,52273,12406,62183,12518,35247,6148,7645,1864,1819,1252,1314,971,273,152,22766,13329,6400,77,43,0,43,579,2295,621.1,22766,1729,1655,1147,1553,1906,1516,989,1118,1759,1957,940,1861,1148,1397,1333,758,36.3,14807,0.18,0.31,0.34,0.1,0.07,5397,0.13,10748,0.09,8479,150300,7645,5397,3772,1449,1625,817,2248,5112034,70460,1894,1999
Pennsylvania-York,"York At Home",17408,39.970676,-76.76938,TRUE,TRUE,FALSE,66997964,69728,6047,81593,4226,33664,1953,0.03,0.01,37386,8839,83434,8565,89695,5941,37395,4144,9639,1303,2111,1826,1570,1831,699,299,23778,20668,1073,31,500,0,2,275,1229,919.2,23778,1523,1298,1087,1659,1568,1585,1388,1964,1414,1333,1315,1682,1250,1716,1413,1583,42.6,17277,0.09,0.41,0.25,0.15,0.1,6331,0.03,12663,0.03,9964,171200,9639,6331,5219,2005,1112,558,3308,6668197,17408,291,491
"Michigan-Bloomfield Hills","Bloomfield Township At Home",48302,42.609592,-83.298383,TRUE,TRUE,TRUE,28621745,133427,9268,209059,14602,82271,6209,0.34,0.03,67607,56126,161970,20894,173625,18938,97712,8911,6212,430,787,564,531,1061,752,2087,15964,11846,1212,58,1692,0,117,481,558,1444.6,15964,872,993,419,744,1072,1113,1238,1508,923,1284,415,790,1036,1092,1182,1283,47.8,11481,0.03,0.06,0.18,0.34,0.39,4627,0.04,7432,0.04,6870,490500,6212,4627,4074,1658,553,294,1585,8611321,48302,-4781,-1164
Missouri-Ballwin,"Town And Country - Ballwin At Home",63011,38.600503,-90.485725,TRUE,TRUE,TRUE,37377254,103247,4902,130348,7678,49718,2871,0.16,0.02,-1,-1,114375,12141,130160,10866,64580,5872,14517,1082,2041,1952,1879,3293,1884,2386,38348,33008,679,11,1951,14,85,808,1792,2657.3,38348,2626,2793,1877,2088,2473,2992,2481,2898,2191,2152,1919,1944,2478,2639,2369,2428,43.3,26519,0.04,0.13,0.26,0.34,0.23,10765,0.02,19539,0.02,15147,281700,14517,10765,9262,3865,1503,610,3752,7778244,63011,1567,1954
Georgia-Columbus,"Columbus At Home",31909,32.508168,-84.942462,TRUE,TRUE,FALSE,47234234,60888,3664,71356,3010,28785,1460,0.03,0.01,30409,2343,65202,5510,80122,12363,45068,4561,15091,2431,3792,2823,2558,2501,556,430,39151,23058,8580,65,1320,0,59,1971,4098,2146.8,39151,2855,2114,3325,3236,2484,2285,1835,1974,3187,2457,3196,2817,2400,2075,1611,1300,33.4,25681,0.06,0.21,0.39,0.21,0.13,9847,0.1,18071,0.05,16466,160200,15091,9847,6647,3142,3200,2031,5244,5207072,31909,544,748
"New York-Albany","Albany At Home",12205,42.695011,-73.847962,TRUE,TRUE,FALSE,40980169,75514,4962,86084,3763,36482,1910,0.05,0.01,36198,22926,97091,7656,82266,6166,56045,4117,11061,1304,2293,1885,1876,2351,830,522,26941,21251,1437,43,2383,0,21,806,1000,1702.7,26941,1342,1414,1783,1877,1455,1861,1797,2192,1368,1672,1739,1885,1621,1818,1585,1532,41.2,19483,0.09,0.24,0.32,0.2,0.15,6902,0.05,14881,0.03,11844,209800,11061,6902,5107,2067,1795,689,4159,7051296,12205,-1872,-1326
"New York-Syracuse","Syracuse At Home",13204,43.068151,-76.173342,TRUE,TRUE,FALSE,11375517,34856,2626,49933,3251,22107,1777,0.02,0.01,27313,10077,45605,7031,32314,4646,26513,2920,7903,2904,2050,1337,603,774,100,135,18741,9219,4950,202,230,0,43,792,3305,4267,18741,1498,1094,2084,1565,752,1145,812,793,1505,972,1629,1266,1023,1341,678,584,31.9,12102,0.18,0.31,0.28,0.15,0.08,3449,0.36,8774,0.09,10224,77000,7903,3449,1211,470,2238,1457,4454,4995939,13204,-2707,-1865
Alabama-Trussville,"Trussville At Home",35235,33.606281,-86.640519,TRUE,TRUE,TRUE,36316866,56301,3757,64744,3955,25706,1683,0.01,0.01,42428,24841,57219,12116,61694,6480,47089,7471,8139,1393,2102,1991,1376,1018,146,113,21340,7621,11915,128,144,27,0,220,1285,1521.9,21340,1273,1298,1120,1846,1539,1635,1186,1473,1713,1291,1604,1387,1011,1285,944,735,36.8,14713,0.09,0.27,0.37,0.17,0.09,5549,0.11,11224,0.08,8994,119100,8139,5549,3137,1229,2412,999,2590,6450019,35235,-2375,-1915
Alabama-Montgomery,"Montgomery At Home",36117,32.386262,-86.208156,TRUE,TRUE,FALSE,140619036,64011,2259,84621,3838,35397,1608,0.06,0.01,20833,5285,58682,3714,86220,6272,64167,5192,22552,4133,4326,4512,3465,3503,1248,1365,54640,21017,27654,42,3449,0,0,1185,1293,1006.4,54640,3988,3200,5294,4038,3853,3470,2961,2686,3934,3490,3802,3144,3637,2943,2432,1768,34.9,35954,0.05,0.2,0.29,0.27,0.19,14082,0.1,28481,0.04,24479,180300,22552,14082,9879,4011,4203,2582,8470,4244687,36117,-1235,-914
Michigan-Saginaw,"Saginaw At Home",48604,43.486149,-83.978164,TRUE,TRUE,FALSE,64554572,46324,3718,56047,3013,19686,1091,0,0,19045,3102,48344,11843,61978,8509,44427,4096,4115,1008,1173,867,472,430,154,11,12307,9312,1422,43,201,0,14,183,1132,493.8,12307,640,1408,1632,567,653,693,525,660,515,1014,1341,534,505,735,476,409,26.9,6354,0.06,0.36,0.38,0.15,0.06,2610,0.15,6090,0.08,4491,81200,4115,2610,1884,642,726,353,1505,5849912,48604,-421,-296
Kentucky-Elizabethtown,"Elizabethtown At Home",42701,37.6848,-85.8784,TRUE,TRUE,TRUE,410878645,57680,3805,74224,3107,30678,1193,0.04,0.01,32337,15600,61938,6828,66009,5031,38081,5220,20424,4291,4816,3710,2480,3219,1163,745,50647,40045,4577,86,1349,126,145,2005,2314,319.3,50647,3322,3623,2520,3887,3340,3529,3241,2691,2595,3719,3696,3057,3413,3412,2630,1972,38.7,34272,0.09,0.28,0.37,0.14,0.12,13387,0.09,25492,0.05,22094,175500,20424,13387,9979,3696,3408,2024,7037,5536380,42701,271,212
